slip,lateral_force
[0.034],[33.1]
[0.066],[35.04]
[0.075],[36.05]
[0.064],[37.33]
[0.07],[37.38]
[0.067],[31.9]
[0.072],[31.7]
[0.072],[35.16]
[0.066],[38.21]
[0.069],[36.61]
[0.07],[34.65]
[0.067],[33.53]
[0.069],[33.96]
[0.066],[34.63]
[0.07],[35.48]
[0.072],[36.51]
[0.066],[35.95]
[0.06],[34.21]
[0.063],[32.38]
[0.07],[33.82]
[0.064],[35.59]
[0.069],[34.47]
[0.07],[35.31]
[0.061],[34.85]
[0.072],[33.66]
[0.066],[32.53]
[0.07],[32.93]
[0.067],[35.89]
[0.064],[37.16]
[0.064],[34.68]
[0.066],[30.92]
[0.069],[33.8]
[0.072],[36.34]
[0.066],[35.87]
[0.067],[34.39]
[0.064],[33.25]
[0.072],[33.57]
[0.061],[33.25]
[0.063],[34.38]
[0.063],[35.22]
[0.064],[35.77]
[0.069],[33.66]
[0.067],[32.12]
[0.067],[33.61]
[0.066],[33.91]
[-3.943],[605.39]
[-3.943],[596.52]
[-3.938],[601.6]
[-3.938],[625.34]
[-3.935],[646.06]
[-3.938],[632.76]
[-3.944],[606.12]
[-3.935],[595.81]
[-3.935],[597.38]
[-3.943],[623.23]
[-3.937],[646.85]
[-3.937],[638.31]
[-3.941],[608.88]
[-3.937],[597.88]
[-3.943],[600.19]
[-3.943],[622.71]
[-3.944],[647.67]
[-3.935],[644.42]
[-3.937],[614.96]
[-3.941],[600.58]
[-3.944],[598.84]
[-3.935],[614.85]
[-3.938],[641.21]
[-3.938],[645.8]
[-3.937],[620.04]
[-3.944],[602.02]
[-3.943],[596.69]
[-3.938],[609.3]
[-3.935],[635.16]
[-3.941],[644.]
[-3.94],[620.15]
[-3.937],[599.32]
[-3.937],[594.51]
[-3.937],[602.33]
[-3.934],[628.93]
[-3.937],[642.63]
[-3.935],[624.87]
[-3.935],[603.39]
[-3.938],[596.53]
[-3.941],[601.71]
[-3.941],[625.44]
[-3.937],[642.5]
[-3.932],[629.14]
[-3.934],[604.01]
[-3.937],[595.81]
[-3.931],[598.2]
[-3.943],[621.17]
[-3.943],[641.5]
[-3.937],[631.26]
[-3.935],[605.56]
[-3.935],[594.52]
[-3.934],[597.47]
[-3.935],[617.62]
[-3.944],[642.]
[-3.943],[637.02]
[-3.934],[611.63]
[-3.934],[599.29]
[-3.929],[599.6]
[-3.924],[617.15]
[-3.9],[640.59]
[-3.878],[642.5]
[-3.852],[614.49]
[-3.808],[597.88]
[-3.77],[593.89]
[-3.738],[607.32]
[-3.698],[630.89]
[-3.665],[634.9]
[-3.631],[611.07]
[-3.592],[591.62]
[-3.548],[585.49]
[-3.489],[588.56]
[-3.44],[607.54]
[-3.377],[620.6]
[-3.317],[605.54]
[-3.258],[579.78]
[-3.185],[564.62]
[-3.115],[562.13]
[-3.033],[581.1]
[-2.959],[595.54]
[-2.878],[582.82]
[-2.794],[556.89]
[-2.709],[540.36]
[-2.631],[530.13]
[-2.551],[536.66]
[-2.468],[553.96]
[-2.389],[549.41]
[-2.311],[522.99]
[-2.231],[496.58]
[-2.146],[485.19]
[-2.064],[490.83]
[-1.979],[502.59]
[-1.9],[493.44]
[-1.814],[468.95]
[-1.731],[449.36]
[-1.643],[436.27]
[-1.566],[430.65]
[-1.485],[429.96]
[-1.402],[424.79]
[-1.317],[407.82]
[-1.237],[387.65]
[-1.153],[368.51]
[-1.066],[355.01]
[-0.976],[346.62]
[-0.889],[339.56]
[-0.807],[324.78]
[-0.728],[303.65]
[-0.639],[281.05]
[-0.561],[257.11]
[-0.49],[243.39]
[-0.402],[236.25]
[-0.326],[224.06]
[-0.247],[201.16]
[-0.158],[167.09]
[-0.082],[143.05]
[-0.003],[128.91]
[0.075],[112.15]
[0.152],[85.26]
[0.234],[56.1]
[0.301],[33.99]
[0.383],[12.89]
[0.466],[-11.5]
[0.544],[-43.75]
[0.627],[-72.73]
[0.722],[-91.44]
[0.797],[-113.14]
[0.88],[-135.64]
[0.962],[-167.96]
[1.036],[-200.07]
[1.114],[-219.63]
[1.194],[-234.6]
[1.278],[-249.29]
[1.361],[-266.43]
[1.443],[-289.53]
[1.532],[-311.77]
[1.612],[-329.37]
[1.69],[-336.97]
[1.767],[-346.57]
[1.851],[-357.69]
[1.928],[-369.02]
[2.007],[-388.44]
[2.071],[-410.13]
[2.171],[-421.06]
[2.257],[-417.6]
[2.336],[-407.59]
[2.422],[-416.4]
[2.501],[-450.06]
[2.583],[-476.75]
[2.655],[-477.67]
[2.738],[-457.65]
[2.815],[-448.66]
[2.9],[-463.67]
[2.979],[-500.76]
[3.061],[-532.04]
[3.144],[-521.93]
[3.231],[-491.69]
[3.31],[-482.67]
[3.383],[-500.81]
[3.466],[-541.51]
[3.546],[-563.87]
[3.63],[-546.09]
[3.719],[-524.13]
[3.796],[-518.4]
[3.888],[-528.02]
[3.967],[-558.95]
[4.057],[-583.94]
[4.135],[-575.83]
[4.21],[-553.25]
[4.299],[-537.26]
